id	score	topic	answer	problem_preview
370	0.777778	geometry	\frac{7}{36}	A fair six-sided die is rolled twice. What is the probability that the sum of the two rolls is a perfect square?
371	0.333333	number_theory	46491	In the sequence of positive integers, each term after the first two is the sum of the previous two terms. If the first two terms are 3 and 4, and the 20th term is 222, find the 24th term.
372	0.444444	number_theory	0	Let \( P(x) \) be a polynomial with integer coefficients such that \( P(1) = 2 \) and \( P(2) = 3 \). For how many integers \( n \) in the range \( 1 \leq n \leq 1000 \) is the expression \( P(n) - n \) a prime number?
373	0.333333	number_theory	0	Find the number of positive integers \( n \) less than 1000 such that \( 2^n + 2 \) divides \( n! \).
374	0.777778	number_theory	1	What is the smallest positive integer \( n \) such that \( 2^n + 1 \) is divisible by 3?
375	0.666667	number_theory	(2, 2)	Determine all prime numbers \( p \) and \( q \) such that \( p \mid q^2 + 4 \) and \( q \mid p^2 + 4 \).
376	0.444444	number_theory	2	Determine the number of pairs of positive integers \( (a, b) \) such that \( a^b = b^a \) and \( a \neq b \).
377	0.777778	geometry	2	In a coordinate plane, consider a triangle formed by the points (0,0), (a,0), and (a,b), where \(a\) and \(b\) are positive integers. A circle is inscribed within this triangle. Find the radius \(r\) of the inscribed circle in terms of \(a...
378	0.333333	geometry	\frac{1}{4}	In the complex plane, let $A$ be the point representing the complex number $1 + i$, and let $B$ be the point representing the complex number $-2 + 3i$. A complex number $C$ is chosen uniformly at random in the complex plane such that the d...
379	0.333333	geometry	10	In a peculiar game, a player starts at point \(A\) on a number line and moves to the right or left by a distance that is a perfect square. Each move must result in a new position that is a multiple of 3. If the player starts at \(A = 3\) a...
380	0.444444	combinatorics	44.721	A sequence of numbers \(a_1, a_2, a_3, \ldots\) is defined as follows: \(a_1 = 1\), and for \(n \geq 1\), \(a_{n+1} = a_n + \frac{1}{a_n}\). Find the value of \(a_{1000}\) expressed as a decimal rounded to the nearest thousandth.
381	0.666667	geometry	48	In the diagram, the small square has a side length of 4 units, and the large square has a side length of 8 units. The region inside the large square and outside the small square is shaded. What is the area of the shaded region?
382	0.666667	geometry	19	Given a sequence of positive integers \(a_1, a_2, a_3, \ldots, a_n\) such that the sum of the first \(k\) terms is a perfect square for all \(1 \leq k \leq n\), find the smallest possible value of \(a_n\) if \(n = 10\) and \(a_1 = 1\).
383	0.333333	geometry	1	Let \( S \) be a set of integers such that every integer \( n \in S \) satisfies the condition \( n^2 + 1 \) is a perfect square. Prove that \( S \) can contain at most one positive integer.
384	0.444444	number_theory	8	Let $S$ be the set of all $2 \times 2$ matrices with integer entries. Find the number of matrices $M \in S$ such that $M^2 = I$, where $I$ is the $2 \times 2$ identity matrix.
385	0.333333	geometry	99!	In a mystical forest, there are 100 magical trees arranged in a circle. Each tree is home to a unique type of enchanted bird. A young wizard must pass by each tree exactly once, feeding each bird a different type of magical seed. He starts...
386	0.444444	number_theory	100	A sequence of positive integers \(a_1, a_2, a_3, \ldots\) is defined such that \(a_1 = 1\) and for \(n \geq 2\), \(a_n\) is the smallest positive integer not occurring earlier in the sequence such that \(a_n\) is coprime with \(a_{n-1}\). ...
387	0.555556	geometry	7	In triangle \( ABC \), \( AB = 13 \), \( BC = 14 \), and \( CA = 15 \). A circle is inscribed in the triangle, touching \( AB \) at \( D \), \( BC \) at \( E \), and \( CA \) at \( F \). Find the length of the segment \( AD \).
388	0.625000	geometry	1, -\frac{1}{2} + i\frac{\sqrt{3}}{2}, -\frac{1}{2} - i\frac{\sqrt{3}}{2}	In the complex plane, let $z$ be a complex number such that $|z| = 1$ and $z^3 + \overline{z}^3 = 2$. Find all possible values of $z$.
389	0.333333	number_theory	11	A sequence of positive integers \(a_1, a_2, a_3, \ldots\) is defined by the recurrence relation \(a_{n+1} = a_n + 2^n\) for all \(n \geq 1\), with the initial term \(a_1 = 1\). What is the smallest positive integer \(k\) such that \(a_k\) ...
390	0.333333	geometry	-1, -2	Find all integers \( n \) such that \( n^2 + 3n + 2 \) is a perfect square.
391	0.375000	other	5	In a magical kingdom, there are three types of mystical creatures: dragons, unicorns, and phoenixes. Each dragon has 4 wings, each unicorn has 2 wings, and each phoenix has 1 wing. The kingdom holds an annual festival where these creatures...
392	0.777778	combinatorics	4	There are 12 balls in a bag: 4 red, 4 blue, and 4 green. If you draw balls one at a time without replacement, what is the minimum number of draws required to ensure that you have at least 2 balls of the same color?
393	0.444444	combinatorics	34440	Consider a sequence of numbers defined recursively by $a_1 = 1$ and $a_{n+1} = 3a_n + n$ for $n \geq 1$. Find the value of $a_{10}$.
394	0.571429	geometry	4 \sqrt[3]{4}	A right circular cone has a base radius of 6 units and a height of 8 units. A smaller, similar right circular cone is cut from the top of the larger cone so that the volume of the remaining frustum is exactly half the volume of the origina...
395	0.555556	number_theory	1	What is the smallest positive integer \( n \) such that the polynomial \( P(x) = x^3 - 6x^2 + 11x - 6 \) has exactly three distinct real roots, and each root is an integer?
396	0.333333	algebra	c	A function \(f(x)\) is defined for all real numbers \(x\) such that \(f(x) = f(x+1)\) and \(f(x) = f(x-1)\). If \(f(x)\) is a polynomial of degree 3, find the value of \(f(2.5)\).
397	0.555556	combinatorics	1	A fair six-sided die is rolled repeatedly until a six appears. Let \( P(n) \) be the probability that the number of rolls is exactly \( n \). Find the value of \( n \) for which \( P(n) \) is maximized.
398	0.777778	geometry	AR \parallel PQ	Let \( ABC \) be an acute triangle with circumcircle \( \Gamma \). Let \( M \) be the midpoint of \( BC \), and let \( P \) and \( Q \) be the feet of the altitudes from \( B \) and \( C \), respectively. Suppose that the line \( PQ \) int...
399	0.333333	algebra	-\frac{1}{2}	Find the value of \( x \) for which the expression \( \sqrt{x^2 + 4x + 16} - \sqrt{x^2 - 2x + 13} \) achieves its maximum value, and prove that this is indeed the maximum.
400	0.666667	geometry	4	A sequence of numbers is defined recursively as follows: \( a_1 = 1 \), and for all \( n \geq 2 \), \( a_n = a_{n-1} + \left\lfloor \sqrt{a_{n-1}} \right\rfloor \). Find the smallest positive integer \( k \) such that \( a_k \) is a perfec...
401	0.555556	geometry	1680	Let \(S\) be the set of all ordered triples of integers \((a, b, c)\) such that \(1 \leq a, b, c \leq 10\). Each triple in \(S\) represents a coordinate in a 3D space. We define a *special path* as a sequence of moves from one point in \(S...
402	0.555556	number_theory	52	What is the smallest positive integer \( n \) such that when \( n \) is divided by 3, the remainder is 1, when \( n \) is divided by 5, the remainder is 2, and when \( n \) is divided by 7, the remainder is 3?
403	0.333333	geometry	12.5	A circle is inscribed in a right triangle with legs of lengths 15 and 20. A point \( P \) is chosen on the hypotenuse such that it divides the hypotenuse into segments of lengths \( a \) and \( b \). If the area of the triangle formed by \...
404	0.666667	geometry	12	In triangle \(ABC\), the sides are given by \(a\), \(b\), and \(c\) respectively, with \(a < b < c\). The angle opposite to side \(a\) is \(30^\circ\) and the angle opposite to side \(b\) is \(60^\circ\). Given that the area of the triangl...
405	0.333333	combinatorics	45	In a magical kingdom, there are 100 wizards. Each wizard has a unique power level, ranging from 1 to 100, inclusive. The King has decided to challenge the wizards by organizing a tournament where each wizard can choose to either duel anoth...
406	0.333333	number_theory	\{1, 2\}	Find all positive integers \( n \) such that there exists a permutation \( (a_1, a_2, \ldots, a_n) \) of the numbers \( \{1, 2, \ldots, n\} \) such that for each \( i \) (with \( 1 \leq i \leq n \)), either \( a_i \mid (a_{i+1} + a_{i+2}) ...
407	0.333333	algebra	49	Let \( p(x) \) be a polynomial of degree 4 such that \( p(x) = x^2 \) for \( x = 1, 2, 3, 4 \). Find \( p(5) \).
408	0.333333	geometry	9	Consider the expression \( x^2 - 19x + 99 \). What is the smallest positive integer value of \( x \) for which this expression is a perfect square?
409	0.555556	number_theory	2023	A sequence of numbers \(a_1, a_2, a_3, \ldots\) is defined recursively by \(a_1 = 1\), \(a_2 = 2\), and for \(n \geq 3\), \(a_n\) is the smallest positive integer such that \(a_n\) is not a divisor of any of the previous terms \(a_1, a_2, ...
410	0.555556	geometry	1	What is the smallest positive integer \( n \) such that \( n^2 + 14n + 49 \) is a perfect square?
411	0.500000	other	\sqrt{58}	在平面直角坐标系xOy中，已知点A(2, 3)和点B(-1, -4)，求向量AB的坐标，并计算该向量的模长。
412	0.666667	number_theory	165	Find the sum of all two-digit positive integers whose digits multiply to 12.
413	0.444444	number_theory	7	What is the largest integer value of \( n \) such that \( n^2 - 14n + 48 \) is negative and \( n \) is a divisor of 72?
414	0.333333	geometry	176400	Find the smallest positive integer \( n \) such that \( n \) is divisible by every integer from 1 to 10 and \( n \) is also a perfect square.
415	0.333333	number_theory	7	What is the smallest positive integer \( n \) such that \( n^2 - 1 \) is divisible by 24 and \( n^3 - 1 \) is divisible by 27?
416	0.444444	geometry	5	In triangle ABC, angle BAC is a right angle, and the lengths of sides AB and AC are 6 and 8, respectively. A semicircle with diameter BC is drawn such that it is tangent to sides AB and AC. Find the radius of the semicircle.
417	0.333333	geometry	7	What is the smallest positive integer \( n \) such that the decimal representation of \( \frac{n}{7} \) consists entirely of the digit 1, i.e., \( \frac{n}{7} = 0.\overline{1}111\ldots \)?
418	0.777778	number_theory	4	The sequence \(a_n\) is defined by \(a_1 = 1\) and \(a_{n+1} = 2a_n + (-1)^n n\) for \(n \geq 1\). Find the smallest positive integer \(k\) such that \(a_k\) is divisible by 5.
419	0.555556	number_theory	305	Find the number of distinct prime factors of \( 2024! \).
420	0.666667	geometry	PQ \perp BC	Let \(ABC\) be an acute-angled triangle with circumcenter \(O\). Let \(D, E,\) and \(F\) be the midpoints of the sides \(BC, CA,\) and \(AB\) respectively. The circumcircles of triangles \(AFD\) and \(BEC\) intersect at \(P\) on the opposi...
421	0.444444	number_theory	5001	A sequence of numbers \(a_1, a_2, a_3, \ldots\) is defined recursively by \(a_1 = 1\) and \(a_{n+1} = a_n + \frac{1}{a_n}\) for all positive integers \(n\). Find the smallest positive integer \(k\) such that \(a_k > 100\).
422	0.777778	number_theory	20	Given a sequence of positive integers \(a_1, a_2, a_3, \ldots, a_n\) such that \(a_1 = 1\) and \(a_{k+1} = a_k + \left\lfloor \sqrt{a_k} \right\rfloor\) for \(k \geq 1\), find the value of \(a_{10}\).
423	0.625000	geometry	3	In the coordinate plane, let $P$ be a point with coordinates $(a, b)$, where $a$ and $b$ are positive integers. A line segment $\overline{PQ}$ is drawn from $P$ to a point $Q$ with coordinates $(2023, 0)$, such that $\overline{PQ}$ is perp...
424	0.444444	algebra	25	Let \( f(x) \) be a polynomial of degree 3 with real coefficients such that \( f(1) = 1 \), \( f(2) = 4 \), \( f(3) = 9 \), and \( f(4) = 16 \). Find the value of \( f(5) \).
425	0.333333	number_theory	1	Find all positive integers \( n \) such that the equation \( x^2 + y^2 = nz^3 \) has infinitely many solutions in positive integers \( x, y, z \).
426	0.777778	geometry	\frac{3\sqrt{3}}{2\pi}	A regular hexagon is inscribed in a circle of radius \( r \). If the side length of the hexagon is \( s \), express the ratio of the area of the hexagon to the area of the circle in terms of \( r \) and \( s \).
427	0.555556	number_theory	(1, 1, 1)	Find all integers \(x, y, z\) such that the following system of equations holds: \[ x^3 + 2y^3 + 4z^3 = 6xyz + 1 \] \[ x^2 + y^2 + z^2 = 3xy + 3yz + 3zx \]
428	0.777778	geometry	6	A right triangle has side lengths \(x\), \(x+1\), and \(x+2\). Find the area of the triangle if it is a right triangle.
429	0.444444	geometry	324	In the land of Mathemagica, there are magical numbers called "Perfect Squares" that have a unique property: the sum of the digits of each Perfect Square is also a Perfect Square. For example, 49 (which is 7^2) is a Perfect Square, and the ...
430	0.375000	logic_puzzle	0	In the enchanted forest, a magical tree grows apples that double in number every day. On the first day of the month, the tree had 1 apple. If a forest elf picks 10 apples on the fifth day, how many apples will the tree have at the end of t...
431	0.777778	geometry	10	Let \( ABC \) be a triangle with \( \angle BAC = 90^\circ \). A circle with diameter \( BC \) intersects \( AB \) and \( AC \) at points \( D \) and \( E \), respectively. If \( AD = 3 \), \( AE = 4 \), and the area of triangle \( ABC \) i...
432	0.333333	combinatorics	55	In a magical kingdom, there are 12 wizards who can each cast one of three types of spells: Fire, Water, or Air. Each wizard must choose one spell, and no two wizards can cast the same spell. On a particular day, a king declares that the to...
433	0.777778	geometry	3	Find all positive integers \( n \) such that \( n^3 - 7n + 3 \) is a perfect square.
434	0.555556	geometry	3	In a right-angled triangle $ABC$, where $\angle ACB = 90^\circ$, $AC = 8$ units, and $BC = 15$ units, a point $D$ is chosen on $AB$ such that $AD = DB$. If a circle is inscribed in triangle $ABC$, touching all three sides, find the radius ...
435	0.777778	combinatorics	\frac{25}{144}	A circular spinner is divided into three regions labeled \(A\), \(B\), and \(C\). The probability of the spinner landing on region \(A\) is \(\frac{1}{3}\), and the probability of landing on region \(B\) is \(\frac{1}{4}\). If the spinner ...
436	0.666667	number_theory	2	A function \( f \) is defined on the positive integers as follows: \( f(1) = 1 \) and for \( n > 1 \), \( f(n) = n - f(f(n-1)) \). Find the smallest positive integer \( k \) such that \( f(k) = 1 \).
437	0.500000	algebra	143	<problem>Find the sum of the first 10 terms of the sequence defined by $x_1 = 1$, $x_2 = 1$, and $x_n = x_{n-1} + x_{n-2}$ for $n \ge 3$.{/problem} <a>34</a> <b>55</b> <c>89</c> <d>144</d> <e>233</e>
438	0.555556	algebra	50	Let \( f(x) \) be a polynomial of degree 4 with real coefficients such that \( f(x) = x^4 + ax^3 + bx^2 + cx + d \). Given that \( f(1) = 10 \), \( f(2) = 20 \), \( f(3) = 30 \), and \( f(4) = 40 \), find the value of \( f(5) \).
439	0.333333	geometry	\frac{\sqrt{3}}{4}	A regular hexagon ABCDEF has side length 1. Points G, H, and I are the midpoints of sides AB, CD, and EF, respectively. The hexagon is divided into six equal triangles by drawing segments from each vertex to the midpoint of the opposite si...
440	0.333333	number_theory	6	Find all positive integers \( n \) such that the equation \[ \frac{1}{x} + \frac{1}{y} = \frac{1}{n} \] has exactly three distinct solutions in positive integers \( (x, y) \) where \( x \neq y \).
441	0.333333	geometry	4	In the complex plane, consider the unit circle centered at the origin. Let \(z_1, z_2, \dots, z_n\) be \(n\) distinct points on the unit circle such that the product of any two of these points is a real number. If \(n\) is a positive integ...
442	0.333333	geometry	\frac{5000}{9}	A farmer has a rectangular field with a perimeter of 100 meters. If the length is twice the width, find the maximum area that can be enclosed by the field.
443	0.777778	geometry	12	A circle with center \( O \) and radius \( r \) is inscribed in an equilateral triangle \( ABC \). If the area of the triangle is \( 36 \sqrt{3} \) square units and the radius of the inscribed circle is 3 units, find the length of the side...
444	0.333333	number_theory	101	A sequence of positive integers \( a_1, a_2, a_3, \ldots, a_n \) is defined such that \( a_1 = 1 \) and for \( n \geq 2 \), \( a_n \) is the smallest positive integer such that \( a_n \) is not a divisor of \( a_{n-1} \) and \( a_n \neq 1 ...
445	0.666667	algebra	d = -a - b - c	Given a function \( f: \mathbb{R} \to \mathbb{R} \) defined by \( f(x) = ax^3 + bx^2 + cx + d \) where \( a, b, c, \) and \( d \) are real numbers, find the condition on \( a, b, c, \) and \( d \) such that \( f(x) \) is an increasing func...
446	0.625000	algebra	f(x) = cx	Let \( f: \mathbb{R} \to \mathbb{R} \) be a continuous function such that \( f(x + y) = f(x) + f(y) \) for all \( x, y \in \mathbb{R} \). Prove that \( f(x) = cx \) for some constant \( c \).
447	0.555556	geometry	70	Let \( ABCD \) be a convex quadrilateral with sides \( AB \), \( BC \), \( CD \), and \( DA \). Suppose that the diagonals \( AC \) and \( BD \) intersect at point \( E \) such that \( AE = EC \) and \( BE = ED \). If the area of \( \trian...
448	0.777778	geometry	25\pi	A square and a circle share the same center. The side of the square is equal to the diameter of the circle. If the area of the square is 100 square units, what is the area of the circle? Express your answer in terms of $\pi$.
449	0.666667	geometry	4	A right circular cone has a base radius of 6 units and a height of 8 units. A smaller cone, similar to the original, is inscribed within the original cone such that its vertex is at the top of the original cone and its base is parallel to ...
450	0.666667	algebra	8	Problem: Let \( f(x) = x^2 + ax + b \) be a quadratic polynomial with real coefficients. If \( f(1) = 0 \) and \( f(2) = 3 \), find the value of \( f(3) \).
451	0.375000	number_theory	2	What is the smallest positive integer \( n \) such that the number \( 2^n \) can be expressed as the sum of two positive integers, neither of which is divisible by 4? Furthermore, what is the sum of these two integers?
452	0.444444	algebra	\frac{6100}{3}	Given the polynomial \( P(x) = x^3 + ax^2 + bx + c \) with real coefficients, it is known that \( P(1) = 2023 \), \( P(2) = 2024 \), and \( P(-1) = 2022 \). Find the value of \( P(3) \).
453	0.777778	algebra	36	Let \( f(x) \) be a polynomial of degree 4 such that \( f(1) = 1 \), \( f(2) = 4 \), \( f(3) = 9 \), \( f(4) = 16 \), and \( f(5) = 25 \). Determine \( f(6) \).
454	0.333333	geometry	V = \frac{1}{3}	In a three-dimensional Cartesian coordinate system, let \( P \) be the point \( (0,0,1) \), \( Q \) be the point \( (1,1,2) \), \( R \) be the point \( (2,0,1) \), and \( S \) be the point \( (2,2,2) \). Determine the volume of the tetrahe...
455	0.333333	geometry	182	Find the smallest positive integer \( n \) such that the product of the digits of \( n \) is a perfect square and \( n \) itself is the product of two consecutive positive integers.
456	0.444444	geometry	72	A circle is inscribed in a square, and a square is inscribed in this circle. If the area of the larger square is 144 square units, what is the area of the smaller square?
457	0.666667	combinatorics	35	In a unique sequence of numbers, each term is derived by adding the previous two terms, with the first term being 1 and the second term being 2. However, for every third term, an additional 2 is subtracted before adding the previous two te...
458	0.777778	geometry	260	A rectangular garden is divided into four smaller rectangles by two straight paths, one horizontal and one vertical. The paths are 2 feet wide and run the entire length of the garden. If the total area of the garden (including the paths) i...
459	0.666667	algebra	37	Let \( f(x) \) be a polynomial of degree 4 such that \( f(1) = 2 \), \( f(2) = 5 \), \( f(3) = 10 \), \( f(4) = 17 \), and \( f(5) = 26 \). Determine the value of \( f(6) \).
460	0.444444	combinatorics	1,058,400	Find the number of ways to arrange the letters in the word "MATHEMATICS" such that no two vowels are adjacent. The word "MATHEMATICS" contains 11 letters, with the vowels being A, A, E, I.
461	0.777778	algebra	58	A function \( f \) is defined on the set of real numbers such that for all real numbers \( x \) and \( y \), \[ f(x + y) = f(x) \cdot f(y) + xy. \] Given that \( f(1) = 2 \), determine the value of \( f(5) \).
462	0.500000	geometry	100\sqrt{3}	A rectangle is inscribed in a circle of radius 10. If the diagonal of the rectangle is twice the length of one of its sides, find the area of the rectangle.
463	0.500000	geometry	16	A triangle \(ABC\) has vertices at coordinates \(A(0,0)\), \(B(8,0)\), and \(C(4,6)\). A line through point \(C\) intersects \(AB\) at point \(D\) such that \(AD:DB = 2:1\). Calculate the area of the quadrilateral \(ACD\). Find the area of...
464	0.555556	number_theory	0	What is the number of ordered pairs of positive integers $(x, y)$ that satisfy the equation $x^2 - y^2 = 2023$ and $x < y$?
465	0.555556	number_theory	1	Let \( f(x) = x^2 + 2x + 1 \). Find the number of integer pairs \((a, b)\) such that \( f(a) = f(b) \) and \( a + b = 10 \).
466	0.666667	geometry	\frac{1}{2}	A circle is inscribed in a square of side length 2, and a smaller square is inscribed in this circle. Find the ratio of the area of the smaller square to the area of the larger square, expressed as a common fraction in lowest terms.
467	0.500000	geometry	0.25	In a circular dartboard with radius 1, a dart is thrown randomly. Let A be the event that the dart lands closer to the center of the dartboard than to the edge. What is the probability of A occurring?
468	0.500000	combinatorics	\dfrac{3}{16}	In a game, a player flips a fair coin repeatedly until either heads appears three times or tails appears three times. What is the probability that the game ends after exactly five flips?
469	0.444444	number_theory	1002	There exists a unique function \( f: \mathbb{N} \rightarrow \mathbb{N} \) satisfying the following property for all positive integers \( n \): \[ f(n) = n - f(f(n-1)) \] and \( f(1) = 1 \). Determine \( f(2003) \).
470	0.428571	combinatorics	35	How many different ways can 6 identical red balls and 4 identical blue balls be arranged in a row such that no two blue balls are adjacent?
471	0.375000	number_theory	975	Let $a$ and $b$ be positive integers such that $a+b=1000$ and $\gcd(a, b) = 25$. Find the minimum possible value of $\lcm(a, b)$.
472	0.666667	combinatorics	19600	How many ways can 10 books be selected from a set of 20 different books, consisting of 8 math books, 7 science books, and 5 history books, so that there are 3 math books, 4 science books, and 3 history books?
473	0.444444	number_theory	2	Let \( S \) be the set of all positive integers \( n \) such that \( n \) divides \( 2^n + 1 \). Determine the largest integer \( k \) for which there exists a sequence of distinct positive integers \( n_1, n_2, \ldots, n_k \) in \( S \) s...
474	0.625000	number_theory	(6, 5)	Find all pairs of positive integers \( (x, y) \) such that \( x^3 - y^3 = xy + 61 \).
475	0.500000	algebra	|f(x)| \leq |x|	Let \( f: \mathbb{R} \to \mathbb{R} \) be a continuous function satisfying the following property: for all \( x, y \in \mathbb{R} \), if \( x^2 + y^2 \leq 1 \), then \( |f(x) - f(y)| \leq |x - y| \). Prove that for all \( x \in \mathbb{R} ...
476	0.555556	number_theory	9	Let $S_n$ be the sum of the first $n$ terms of the sequence defined by $a_n = \frac{1}{n^2 + n}$. Prove that for any positive integer $n$, $S_n$ can be expressed as a difference of two simple fractions whose numerators are integers and den...
477	0.777778	geometry	9.8	In the triangle \(ABC\), \(D\) is a point on \(BC\) such that \(AD\) is the angle bisector of \(\angle BAC\). If \(AB = 10\), \(AC = 14\), and \(BD = 7\), find the length of \(DC\).
478	0.333333	combinatorics	96	How many ways can you color the vertices of a regular hexagon with 3 colors such that no two adjacent vertices have the same color?
479	0.666667	combinatorics	84	In a group of 15 people, each person can shake hands with any other person exactly once. If the probability that any two people shake hands is 0.8, what is the expected number of handshakes in the group?
480	0.444444	combinatorics	256	In a sequence of numbers, each term after the first is equal to the sum of all the preceding terms. Given that the first term is 1 and the seventh term is 128, what is the tenth term of the sequence?
481	0.333333	other	2	在一个圆桌旁有10个人，每个人手中拿着一枚硬币。如果每个人可以观察到与自己相邻的两个人手中的硬币面值，那么在圆桌旋转一圈后，至少有几个人手中的硬币面值相同？假设每个人手中的硬币面值为正面或反面，且所有硬币初始状态随机。
482	0.333333	number_theory	99	Find all integers \( n \) for which the polynomial \( P(x) = x^3 - 3nx^2 + 3n^2x - n^3 \) has integer roots, and determine the number of such integers \( n \) that are less than 100.
483	0.777778	geometry	x^2 + y^2 = R^2	A rectangle is inscribed in a circle of radius \( R \). The length of one side of the rectangle is \( 2x \) and the length of the other side is \( 2y \). Given that the diagonal of the rectangle is equal to the diameter of the circle, find...
484	0.750000	geometry	4	In the complex plane, the point $A$ represents the complex number $z = 2 + 3i$. A point $B$ is chosen such that it lies on the circle centered at the origin with radius 5. If the midpoint of the segment $AB$ is at the point $C(1 + 2i)$, fi...
485	0.777778	geometry	120 - 16\pi	A circle with radius \( r \) is inscribed in a right triangle with legs of lengths 10 and 24. Find the radius \( r \) of the inscribed circle and determine the area of the triangle not covered by the circle.
486	0.444444	geometry	0	In the coordinate plane, consider the point \( P \) with coordinates \( (x, y) \) such that \( x \) and \( y \) are positive integers. Define the distance function \( d(P) \) as the sum of the squares of the coordinates of \( P \), i.e., \...
487	0.666667	number_theory	1	Find all positive integers \( n \) such that the equation \[ n^2 + 1 = 2^k \] has exactly one solution for some integer \( k \).
488	0.555556	geometry	608	A positive integer is considered square-free if it is not divisible by any perfect square greater than 1. For instance, 10 is square-free because it is not divisible by any perfect square (other than 1), but 18 is not square-free because i...
489	0.333333	geometry	84	Given a convex quadrilateral \(ABCD\) with \(AB = 5\), \(BC = 12\), \(CD = 13\), and \(DA = 14\), and the diagonals \(AC\) and \(BD\) intersect at point \(E\) such that the ratio \(AE:EC = 2:1\) and \(BE:ED = 3:1\). Find the area of quadri...
490	0.333333	geometry	2	In the land of Puzzlia, the wise mathematician, Professor Numble, has devised a game to challenge the young minds of the kingdom. The game board is an infinite grid of squares, with each square numbered according to its row and column, sta...
491	0.555556	number_theory	2	Find all positive integers \( n \) such that \( n^2 + 1 \) divides \( 3n + 4 \).
492	0.333333	number_theory	2499	What is the smallest positive integer \( n \) such that \( \sqrt{n} + \sqrt{n + 1} < 100 \)?
493	0.777778	number_theory	3	Find all prime numbers \( p \) such that \( p^2 + 11 \) has exactly six distinct positive divisors.
494	0.555556	number_theory	12	What is the smallest positive integer \( n \) such that the number of divisors of \( n^2 \) is exactly 15?
495	0.500000	logic_puzzle	48	In a magical forest, there are three types of trees: Apple, Banana, and Cherry trees. Each day, each type of tree grows by a certain number of fruits. An Apple tree grows 2 more fruits than the previous day, a Banana tree grows 3 more frui...
496	0.555556	geometry	1	Consider the sequence defined by \( a_1 = 1 \) and \( a_{n+1} = a_n^2 + 2a_n + 1 \) for \( n \geq 1 \). Find the smallest positive integer \( k \) such that \( a_k \) is a perfect square.
497	0.444444	geometry	m_a \cdot m_b \leq \frac{2}{3} \sqrt{abc}	Let \( ABC \) be a triangle with side lengths \( AB = c, BC = a, \) and \( CA = b \). The medians of the triangle intersect at the centroid \( G \). The medians divide the triangle into six smaller triangles of equal area. If the length of...
498	0.444444	combinatorics	1	In a certain kingdom, the royal family has a peculiar tradition: every year, they plant a tree. Each tree is either an apple tree, a pear tree, or an orange tree. A new law states that no two consecutive years should have the same type of ...
499	0.777778	logic_puzzle	25	In a peculiar town, there are four main streets: Maple, Oak, Pine, and Elm. Each street has a different number of houses, and the total number of houses is 100. The number of houses on Pine Street is twice the number of houses on Elm Stree...
500	0.333333	geometry	0.5	Let \( ABC \) be a triangle with \( AB = 13 \), \( BC = 14 \), and \( CA = 15 \). Let \( D \) be a point on side \( BC \) such that \( AD \) is the angle bisector of \( \angle BAC \). Let \( E \) be the point where the incircle of \( \tria...
501	0.777778	number_theory	0	Find the number of ordered pairs of integers $(x, y)$ such that $x^2 + y^2 = 2023$.
502	0.777778	geometry	2	A sequence of numbers is generated such that the first term is 1, and each subsequent term is the sum of the squares of the digits of the previous term. For instance, the second term is 1^2 = 1, the third term is 1^2 = 1, and so on. Howeve...
503	0.333333	geometry	2	In the Cartesian coordinate system, a point \( P \) moves from the origin \( O \) to the point \( (a, b) \) in a straight line. The path is divided into \( n \) equal segments. At each segment endpoint (excluding \( O \) and \( (a, b) \)),...
504	0.444444	geometry	\frac{1}{2}	A circle with radius 10 units is inscribed in a square, then a smaller square is inscribed in this circle such that each vertex of the smaller square touches the circle. A point is randomly chosen inside the larger square. What is the prob...
505	0.555556	geometry	2023	What is the minimum number of unit squares needed to create a convex polygon with an area of 2023 square units, where each unit square must touch at least one other unit square along an entire side?
506	0.666667	number_theory	443	A sequence of positive integers \( a_1, a_2, a_3, \ldots, a_n \) is defined recursively as follows: \[ a_1 = 2 \] \[ a_{n+1} = a_n^2 - a_n + 1 \] for \( n \geq 1 \). Find the remainder when \( a_{10} \) is divided by 1000.
507	0.555556	geometry	10	Consider a sequence of numbers where each term is the sum of the squares of the digits of the previous term, starting with a two-digit number \( N \). For example, if \( N = 23 \), the sequence starts as \( 23, 13, 10, 1, 1, \ldots \). Fin...
508	0.333333	number_theory	2	What is the smallest positive integer $n$ such that the polynomial $P(x) = x^4 - 4x^3 + 6x^2 - 4x + 1$ has at least one real root with multiplicity greater than 1?
509	0.777778	algebra	0	Let \( p(x) = x^3 - 3x + 1 \). Find the sum of all real solutions to the equation \( p(p(x)) = 0 \).
510	0.666667	number_theory	4	What is the minimum number of weights needed to measure any integer weight from 1 to 40 pounds, using a balance scale? Each weight can be placed on either side of the scale.
511	0.555556	geometry	180\sqrt{3}	A regular hexagon and an equilateral triangle share a side. If the side of the hexagon is $12$ units, find the area of the shaded region that lies outside the equilateral triangle but inside the hexagon.
512	0.666667	algebra	a = 0, b = -7, c = 6	Let \( P(x) = x^3 + ax^2 + bx + c \) be a cubic polynomial with real coefficients. It is known that \( P(1) = 0 \), \( P(2) = 0 \), and \( P(-3) = 0 \). Find the values of \( a \), \( b \), and \( c \).
513	0.666667	geometry	\sqrt{6}	In a circle of radius \( r \), a regular hexagon is inscribed. If the area of the hexagon is \( 9\sqrt{3} \), find the value of \( r \).
